Store,Dept,order,aic,cv_wmae_mean,cv_wmae_std,holdout_wmae,holdout_mae,holdout_rmse,n_missing_weeks
36,20,"(2, 1, 2)",985.7119446359792,38.74829338203598,6.934885310869002,12.789775465522641,14.205417920999917,18.482102500968146,0
16,28,"(2, 1, 2)",1242.9324893878133,117.89780876152763,53.516948962827904,407.2625315750884,412.3568559957721,424.5207179730005,0
24,19,"(0, 1, 2)",1030.94598280794,34.712046667883705,12.322202914654298,26.084353985156806,27.839644953128417,34.077145533773745,0
43,14,"(0, 1, 2)",1609.6797324346082,689.7696156778715,598.360287349561,159.2466376372706,182.10235817824918,224.7628686719816,0
14,60,"(2, 1, 2)",1293.669543246739,130.22402349989113,23.383501885338756,99.31130639024796,91.45756819792567,115.4698259023827,0
36,60,"(1, 1, 2)",1213.1065863237602,72.36481004322354,12.0564740605256,88.62220394233037,85.92090621630399,95.66841137978992,0
3,74,"(0, 1, 2)",1628.2862069836935,793.2220449523212,538.2356237856991,576.277470660915,612.6779774631539,788.9843515311653,0
22,31,"(2, 1, 2)",1729.3927586179025,1108.2421234499325,574.3059712693349,1028.4129965084924,1111.8494387478777,1411.4331345518376,0
9,52,"(2, 1, 2)",1497.6054818938194,409.30770882089365,152.6130254214737,314.25529674918516,317.89811288842316,376.429216148138,0
15,29,"(2, 1, 2)",1740.7544201283888,785.9130477940504,430.3368442686241,707.867234270483,702.6675152241505,814.6188714008449,0
7,26,"(0, 1, 2)",1551.806830340654,405.29252532237257,187.216734769026,384.38116443392147,361.1757204714749,450.3542955295952,0
3,96,"(0, 1, 2)",1643.8628836653656,632.8538091856449,129.3629196769629,481.50606404995034,540.2006412909658,665.1322246809211,0
16,41,"(1, 1, 2)",1603.773736968828,960.310379836978,240.88809269070845,546.1200075725693,544.735391689578,622.950878107412,0
13,30,"(0, 1, 2)",1573.8775525475758,845.905895051509,307.1096400209363,1278.3626378307301,1282.1889916073146,1394.4404132202421,0
38,59,"(0, 1, 2)",1093.6671603840205,58.049640033996695,40.73747661564228,72.44924236550453,75.39274046807795,79.24508311468293,3
5,67,"(0, 1, 2)",1708.1261964041155,899.943240682624,276.549867694425,955.5135419120451,902.3142684581055,1585.694966355952,0
34,36,"(2, 1, 2)",1528.7049815528785,687.8256938304636,17.639609514335223,435.5192733877789,496.4845232369679,621.9376650848907,0
11,52,"(0, 1, 2)",1566.9492793278143,996.176501263827,501.6534182865838,361.82390127216274,370.8359835844012,429.31221268273254,0
36,10,"(1, 1, 2)",1036.8247097167064,28.89242569510526,5.1896175955575785,72.61451332336287,70.87544513698977,89.19436153647851,0
13,31,"(1, 1, 2)",1776.2959899615885,1065.0727871137212,586.9900219917893,1507.9378225177486,1410.5220189686725,1908.4555493557637,0
15,50,"(1, 1, 2)",1578.9724286237793,666.8670229318493,147.6380598944405,492.4504071455378,567.4504771399672,727.5330067491989,0
22,60,"(1, 1, 2)",1318.729940663211,87.5093961798034,9.864064619250755,79.03759016367243,81.45489976882426,113.99318649095669,0
30,83,"(0, 1, 2)",1394.6896067274595,362.06154837780167,22.98703793433256,267.8619999019173,259.67061526641317,325.7656968890806,0
42,10,"(1, 1, 2)",1134.6294450589016,51.76043893740938,6.057187990080648,51.40034717238217,48.12719307688631,61.46525441390151,0
4,48,"(1, 1, 2)",1728.2582594530438,1485.4598671974472,636.1597571194758,1373.9359009245957,1264.920172902245,1471.1097383308802,2
14,35,"(2, 1, 2)",1648.1589619312845,623.3071093048139,110.91227219344363,798.449261537251,746.1725444561434,1009.967761859664,0
16,20,"(2, 1, 2)",1576.4466441495317,873.7445975687333,363.12115535651213,521.2637999737534,586.1994041842648,775.702073413752,0
43,98,"(0, 1, 2)",1821.5462760317628,2103.4379718359082,1300.4260426772214,1418.800155223735,1493.3578425522198,1665.9863863809717,0
20,71,"(0, 1, 2)",1845.74406188723,2295.074688164074,2061.7988891240752,2782.615832989586,2196.8787755084995,3272.288231329932,0
16,23,"(2, 1, 2)",1886.829230215987,2331.2006141785064,1676.5645508014863,1220.5860815498754,1306.0760298892467,1698.3365441164108,0
